ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
0,1.267,18.735,292.431,290.262,0.195,0.089
3600,1.232,18.701,309.564,303.159,0.200,0.904
7200,1.374,19.441,316.638,311.951,0.200,2.461
10800,1.431,19.758,317.198,312.508,0.200,3.826
14400,1.402,19.966,317.467,312.800,0.200,5.568
18000,2.490,20.087,317.225,312.725,0.200,7.023
21600,3.402,20.139,316.809,312.466,0.200,7.819
25200,4.575,20.173,315.858,311.759,0.200,8.957
28800,4.780,20.160,315.084,311.073,0.200,10.314
32400,4.522,20.151,314.950,310.921,0.200,11.057
36000,4.689,20.171,315.017,310.980,0.200,12.117
39600,5.210,20.206,314.714,310.787,0.200,13.136
43200,5.510,20.233,314.427,310.565,0.200,14.120
46800,6.591,20.278,313.828,310.150,0.200,15.451
50400,7.130,20.293,313.438,309.870,0.200,15.945
54000,7.763,20.306,312.781,309.349,0.200,16.748
57600,7.899,20.289,312.232,308.861,0.200,17.720
61200,7.891,20.279,312.137,308.765,0.200,18.250
64800,8.094,20.283,312.020,308.680,0.200,18.989
68400,8.543,20.297,311.790,308.525,0.200,19.705
72000,8.450,20.296,311.485,308.258,0.200,20.387
75600,7.671,20.290,311.804,308.428,0.200,21.109
79200,8.472,20.339,312.036,308.712,0.200,21.860
82800,9.629,20.373,311.155,308.111,0.200,22.504
86400,9.867,20.360,310.599,307.623,0.200,23.097
90000,9.921,20.348,310.289,307.344,0.200,23.668
93600,10.151,20.352,310.182,307.257,0.200,24.235
97200,10.295,20.357,309.856,307.001,0.200,24.769
100800,10.369,20.365,309.844,306.981,0.200,25.308
104400,10.660,20.380,309.630,306.832,0.200,25.825
108000,10.860,20.391,309.425,306.668,0.200,26.322
111600,10.963,20.408,309.389,306.618,0.200,26.810
115200,10.159,20.407,309.454,306.631,0.200,27.454
118800,10.340,20.433,309.730,306.877,0.200,27.867
122400,10.959,20.493,309.554,306.785,0.200,28.346
126000,11.854,20.638,309.856,306.944,0.200,28.904
129600,12.010,20.837,310.479,307.509,0.200,29.414
133200,12.523,21.038,310.886,307.834,0.200,29.932
136800,12.944,21.189,311.255,308.168,0.200,30.219
140400,12.387,21.412,311.536,308.531,0.200,30.831
144000,11.620,21.406,311.099,308.265,0.200,31.404
147600,11.296,21.374,310.842,308.047,0.200,31.639
151200,10.960,21.300,310.412,307.656,0.200,32.142
154800,10.984,21.258,310.275,307.513,0.200,32.641
158400,10.569,21.215,310.089,307.378,0.200,33.141
162000,10.446,21.164,309.857,307.158,0.200,33.643
165600,10.190,21.136,309.793,307.125,0.200,34.142
169200,9.818,21.100,309.978,307.184,0.200,34.666
172800,9.791,21.100,310.124,307.323,0.200,35.205
176400,9.460,21.097,310.310,307.452,0.200,35.759
180000,9.060,21.099,310.612,307.678,0.200,36.342
183600,8.623,21.108,310.968,307.954,0.200,36.958
187200,8.067,21.120,311.399,308.283,0.200,37.614
190800,7.916,21.145,311.806,308.636,0.200,38.309
194400,8.160,21.172,311.851,308.724,0.200,39.001
198000,8.339,21.183,311.750,308.659,0.200,39.678
201600,8.138,21.178,311.709,308.596,0.200,40.542
205200,7.977,21.181,311.830,308.683,0.200,41.162
208800,8.047,21.205,311.902,308.758,0.200,41.727
212400,9.154,21.321,311.374,308.450,0.200,42.666
216000,9.303,21.370,310.998,308.155,0.200,42.991
219600,9.611,21.537,310.930,308.113,0.200,43.584
223200,9.777,21.701,310.365,307.693,0.200,44.108
226800,9.462,21.848,310.522,307.795,0.200,44.654
230400,8.516,21.821,310.804,307.952,0.200,45.362
234000,7.138,21.747,311.461,308.361,0.200,45.843
